secid,date,expiration,ForwardPrice
108105,20100115,20100630,1126.887804
108105,20100115,20100630,1126.93908
108105,20100115,20100918,1123.025964
108105,20100115,20100930,1122.404604
108105,20100115,20100930,1122.448542
108105,20100115,20101218,1119.230254
108105,20100115,20101231,1118.727072
108105,20100115,20101231,1118.759961
108105,20100115,20110618,1114.864422
108105,20100115,20111217,1114.563724
108105,20100115,20121222,1124.867368
108105,20100119,20100122,1150.052677
108105,20100119,20100220,1148.479724
108105,20100119,20100320,1146.880537
108105,20100119,20100331,1146.199854
108105,20100119,20100417,1145.298814
108105,20100119,20100522,1143.357753
108105,20100119,20100619,1141.846774
108105,20100119,20100630,1141.167768
108105,20100119,20100630,1141.219703
108105,20100119,20100918,1137.27558
108105,20100119,20100930,1136.649313
108105,20100119,20100930,1136.693578
108105,20100119,20101218,1133.460886
108105,20100119,20101231,1132.958915
108105,20100119,20101231,1132.991693
108105,20100119,20110618,1129.153954
108105,20100119,20111217,1128.963216
108105,20100119,20121222,1139.648796
108105,20100120,20100122,1137.922851
108105,20100120,20100220,1136.362626
108105,20100120,20100320,1134.773301
108105,20100120,20100331,1134.096993
108105,20100120,20100417,1133.201401
108105,20100120,20100522,1131.276558
108105,20100120,20100619,1129.778734
108105,20100120,20100630,1129.101973
108105,20100120,20100630,1129.153753
108105,20100120,20100918,1125.271666
108105,20100120,20100930,1124.64749
108105,20100120,20100930,1124.691625
108105,20100120,20101218,1121.460517
108105,20100120,20101231,1120.956559
108105,20100120,20101231,1120.989489
108105,20100120,20110618,1117.098269
108105,20100120,20111217,1116.795991
108105,20100120,20121222,1127.00208
108105,20100121,20100122,1116.422598
108105,20100121,20100220,1114.891299
108105,20100121,20100320,1113.332761
108105,20100121,20100331,1112.669512
108105,20100121,20100417,1111.791282
108105,20100121,20100522,1109.899179
108105,20100121,20100619,1108.42152
108105,20100121,20100630,1107.750634
108105,20100121,20100630,1107.802002
108105,20100121,20100918,1103.945928
108105,20100121,20100930,1103.321403
108105,20100121,20100930,1103.365601
108105,20100121,20101218,1100.112032
108105,20100121,20101231,1099.601604
108105,20100121,20101231,1099.635001
108105,20100121,20110618,1095.602686
108105,20100121,20111217,1095.06336
108105,20100121,20121222,1104.390939
108105,20100122,20100129,1091.367392
108105,20100122,20100220,1090.2625
108105,20100122,20100320,1088.748041
108105,20100122,20100331,1088.104423
108105,20100122,20100417,1087.25378
108105,20100122,20100522,1085.42094
108105,20100122,20100619,1083.985281
108105,20100122,20100630,1083.333554
108105,20100122,20100630,1083.383453
108105,20100122,20100918,1079.629857
108105,20100122,20100930,1079.015551
108105,20100122,20100930,1079.059055
108105,20100122,20101218,1075.842412
108105,20100122,20101231,1075.332852
108105,20100122,20101231,1075.366236
108105,20100122,20110618,1071.249393
108105,20100122,20111217,1070.486479
108105,20100122,20121222,1079.310619
108105,20100125,20100129,1096.554228
108105,20100125,20100220,1095.43896
108105,20100125,20100320,1093.910443
108105,20100125,20100331,1093.260931
108105,20100125,20100417,1092.402292
108105,20100125,20100522,1090.55639
108105,20100125,20100619,1089.107087
108105,20100125,20100630,1088.449156
108105,20100125,20100630,1088.499533
108105,20100125,20100918,1084.700492
108105,20100125,20100930,1084.079763
108105,20100125,20100930,1084.123723
108105,20100125,20101218,1080.873094
108105,20100125,20101231,1080.355485
108105,20100125,20101231,1080.389405
108105,20100125,20110618,1076.201398
108105,20100125,20111217,1075.430615
108105,20100125,20121222,1084.439649
108105,20100126,20100129,1092.001329
108105,20100126,20100220,1090.889385
108105,20100126,20100320,1089.366773
108105,20100126,20100331,1088.719729
108105,20100126,20100417,1087.864406
108105,20100126,20100522,1086.021511
108105,20100126,20100619,1084.582002
108105,20100126,20100630,1083.928313
108105,20100126,20100630,1083.978355
108105,20100126,20100918,1080.188845
108105,20100126,20100930,1079.568772
108105,20100126,20100930,1079.612691
108105,20100126,20101218,1076.362151
108105,20100126,20101231,1075.842585
108105,20100126,20101231,1075.876646
108105,20100126,20110618,1071.65294
108105,20100126,20111217,1070.841119
108105,20100126,20121222,1079.791069
108105,20100127,20100129,1097.379738
108105,20100127,20100220,1096.18879
108105,20100127,20100320,1094.555266
108105,20100127,20100331,1093.861542
108105,20100127,20100417,1092.944381
108105,20100127,20100522,1090.970991
108105,20100127,20100619,1089.428578
108105,20100127,20100630,1088.73215
108105,20100127,20100630,1088.785438
108105,20100127,20100918,1084.752799
108105,20100127,20100930,1084.093736
108105,20100127,20100930,1084.140401
108105,20100127,20101218,1080.694145
108105,20100127,20101231,1080.14241
108105,20100127,20101231,1080.17857
108105,20100127,20110618,1075.684819
108105,20100127,20111217,1074.668954
108105,20100127,20121222,1082.949033
108105,20100128,20100129,1084.473958
108105,20100128,20100220,1083.363797
108105,20100128,20100320,1081.845907
108105,20100128,20100331,1081.201444
108105,20100128,20100417,1080.350004
108105,20100128,20100522,1078.510896
108105,20100128,20100619,1077.069452
108105,20100128,20100630,1076.418362
108105,20100128,20100630,1076.468196
108105,20100128,20100918,1072.703056
108105,20100128,20100930,1072.086826
108105,20100128,20100930,1072.130465
108105,20100128,20101218,1068.904558
108105,20100128,20101231,1068.391999
108105,20100128,20101231,1068.425581
108105,20100128,20110618,1064.338946
108105,20100128,20111217,1063.787964
108105,20100128,20121222,1073.152823
108105,20100129,20100205,1073.481274
108105,20100129,20100220,1072.769008
108105,20100129,20100320,1071.264583
108105,20100129,20100331,1070.625808
108105,20100129,20100417,1069.781906
